class_name,accuracy,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17
dancing macarena 87,0.24489795918367346,0.4114720431477034,0.5290019425242937,0.47966536963067086,0.3050986052208206,0.2200397608231525,0.48015119007655543,0.320735617997695,0.24224469726588455,0.32644503538097663,0.25237850465691414,0.1575220406540752,0.3283017007489593,0.25567758671128427,0.15552016835064203,0.35504258512639675,0.36133183135467317,0.27232244991120846,0.28466714333514787
juggling balls 169,0.24489795918367346,0.33133486703950527,0.35996200775613585,0.3256642182343671,0.251005241980358,0.20711792295988724,0.323165440916204,0.25890139694522035,0.2083689817819162,0.20402265188848087,0.12619489692024835,0.07701279047597832,0.2057151034152528,0.12355394629406787,0.07488455844371499,0.31367210753109986,0.3170962942214239,0.26522911598082305,0.25007867438452586
jumpstyle dancing 173,0.24489795918367346,0.2750039414483673,0.4511342867702043,0.4161360214843232,0.3045135406571992,0.2525561219129433,0.41837094793514323,0.312989625346904,0.25981880790927786,0.37720292428723806,0.379079933815262,0.33410027095249717,0.38070309489762694,0.38418299649037474,0.3425723818045895,0.23406629354369893,0.24200523874183905,0.1943350320081322,0.22374316167263758
spinning poi 326,0.24489795918367346,0.18337693967381297,0.265492348261431,0.24181768205295612,0.15145190380310927,0.12264751807564782,0.23877054515744556,0.1561883334328934,0.12396347087256762,0.19592989879552608,0.1745871784208583,0.1421617313580854,0.19505211026008643,0.17629506826400757,0.14154020454151697,0.15211394528243818,0.16039455819545553,0.1287143537366674,0.13609445601144207
applying cream 4,0.24,0.22144633574386444,0.09369396683573723,0.08308713352183501,0.04497256666918595,0.038600065939625096,0.07749543391068778,0.03858859939475854,0.027256466287374503,0.014000100028266509,0.006925799605002006,0.005123033133645854,0.013412766647338868,0.0074311666816473,0.0074229333654046055,0.2529717014461756,0.24494523330430196,0.13704583468598622,0.10606613285988566
frying vegetables 135,0.24,0.09323196611404418,0.08949753406047821,0.08123663187722366,0.055531899800896636,0.04796243292043606,0.08151930013895037,0.0627788328597943,0.05355576679507892,0.03643889956871669,0.007262633456538121,0.003837533267959952,0.037682300482193634,0.007240766650438308,0.00367853336383899,0.08130306598345438,0.08293863375286263,0.046561799909671145,0.06072610081036885
knitting 178,0.24,0.02337656639317671,0.01741530006726583,0.016410100310047464,0.011627933295567829,0.0064085998366276405,0.016048000056048232,0.012362933547794821,0.007804899799823762,0.004517666664222877,0.00209953342055281,0.0008898666727046173,0.00555976669602096,0.0061792666600396255,0.002981800022969644,0.022591433079044033,0.020345099455614885,0.014017066726585228,0.010276200047135356
swimming butterfly stroke 341,0.24,0.0718364997227987,0.10918396757443746,0.09668266755739846,0.057642832396924505,0.04256096753776073,0.09474163182179131,0.05475409954339267,0.03954320032745601,0.04807606693903606,0.02378756702716152,0.01781933356026809,0.046554566340645136,0.022529700100670267,0.016870599925518034,0.06723759983380635,0.062027933589617404,0.06462293369174002,0.055910198546449345
exercising arm 119,0.22448979591836735,0.2958348335457496,0.32817248558511525,0.29625357147787706,0.28142952265382626,0.2655415301876408,0.29461928426002976,0.25566765701740374,0.2387854417540184,0.24832622581598704,0.2744453062167784,0.2341183695501211,0.24516656513116794,0.27392710761148104,0.23316452402241378,0.23932625677715352,0.2127611214571258,0.1944074807848249,0.1729677206946879
arranging flowers 7,0.2,0.27226676615079254,0.2523160000801086,0.22651656805674236,0.1814520005226136,0.16496073308785758,0.2253967981974283,0.1779641990184784,0.1582797342777252,0.10153903365929923,0.022829066362480326,0.005402933207899331,0.10367873391707733,0.027460066522657867,0.009173566651592652,0.2611417662461598,0.25852233115832,0.17716019829909005,0.1684838675657908
biking through snow 22,0.2,0.07173129947980245,0.20179413464317725,0.18341823069055876,0.12708239972343052,0.09500753461296356,0.18249916270573935,0.12875760038793083,0.09401886714696882,0.158436400710543,0.13109623167415457,0.10781586654384931,0.16065873272418976,0.13743646635015805,0.11558773250319064,0.054138366878032695,0.0586513000905514,0.0730585329214732,0.08618953266665338
flying kite 130,0.2,0.09724893308182557,0.17833396756897366,0.1629471678455671,0.11670486712058387,0.08786533315877121,0.16061579942653573,0.10864443258841831,0.08465293408731617,0.13333150030722224,0.11307796679039794,0.08978639823049309,0.1316163664807876,0.11282296725759901,0.08754626694470642,0.08373606663842999,0.0796649676417311,0.09654210055321455,0.08071233248362938
hurdling 160,0.2,0.17319519902070368,0.37965399920145676,0.34732543274561567,0.23978503472010296,0.1773588676373164,0.3458686653772991,0.22184386514027912,0.15392013188997905,0.3010861330032349,0.2502564304828644,0.1969187341610591,0.29620083077748616,0.24880383588472998,0.1953081676165263,0.1446028668284416,0.1376421991979082,0.16997683161894478,0.15959509895642598
lunge 183,0.2,0.2645119661013285,0.3122148333231609,0.2957612308502197,0.25559993108113604,0.23426693177223204,0.28442343254089364,0.20729420067270593,0.18161103279590599,0.24453209991455072,0.26423010114034023,0.23261543442408242,0.23813366686503087,0.259972202428182,0.2283646660486857,0.22857333559195195,0.20198433399125929,0.2072150984207789,0.17174150043030584
stretching leg 334,0.2,0.28327683223461114,0.2841925999104977,0.24665510016679765,0.18421606755952044,0.15194629955192407,0.2459963021039963,0.22405536863406503,0.19302416986525056,0.16747526818774636,0.1529905982613564,0.12785496703684326,0.169025067570433,0.15736213217377662,0.1345265666802724,0.2165196340431769,0.23107446820735927,0.15757069968407353,0.191762601715823
bending back 20,0.1875,0.17740312375645673,0.2303001743555069,0.20488163244393134,0.1605444098884861,0.1342228814142032,0.20442881974081195,0.16668357576088358,0.14454753476091556,0.1632938212958268,0.1668642356391582,0.1328327770200041,0.16641368299101794,0.1762260405677889,0.14297298712035025,0.14481326339248982,0.14967107605706487,0.10730250057557388,0.12347475816288757
clean and jerk 59,0.1836734693877551,0.40320643652053095,0.47192758028199083,0.43488863912569425,0.34238819485618965,0.2928459201215886,0.43263377157198324,0.3356392491269274,0.2919732986826475,0.37830380783600054,0.3802490485444361,0.34965778610333303,0.3783189142966755,0.38925156437620834,0.3593396916681407,0.35288115520866553,0.3569856800189634,0.23622656332392267,0.27167271866836923
snowmobiling 324,0.1836734693877551,0.07199602103861821,0.1272653731404721,0.11219071509278548,0.06675557802653027,0.04308840151394711,0.11240819680498167,0.07456510207203983,0.05275085014348128,0.08060051005764479,0.04908792544789866,0.03639438811056064,0.07992632585317912,0.0518709872443812,0.038409319613762455,0.06556452287297669,0.06418717650937385,0.05587279030913803,0.05700479603695627
playing guitar 232,0.18,0.28905603503187505,0.27123853270808856,0.2229949667985241,0.22049306710561112,0.19271040015618002,0.23930579833587007,0.16277306769490238,0.12771913465261456,0.07697193416357039,0.057926568016161514,0.0312215325752894,0.08137399933040142,0.06496289958481986,0.03213683416247368,0.26007043277521946,0.258695532471935,0.19521529853492975,0.1181115339056899
whistling 392,0.18,0.23456813198328025,0.12834393381277723,0.10616366722087064,0.04677896681490044,0.032756000520785644,0.11219076795578,0.04980993369569382,0.03518353413219253,0.01639643342594306,0.0016928666842480496,0.0005307000098129113,0.018883633434772496,0.0044119667927424115,0.0017570999776323638,0.23665120139916734,0.24367563471794132,0.13335093357861047,0.1633857337097327
windsurfing 393,0.18,0.062248333821694014,0.13728816718856493,0.12541283343334997,0.09198669956922531,0.07843489941706262,0.11831733455210929,0.0606401337424914,0.04605593343923489,0.10205506646335123,0.08858479970867435,0.06976443407932917,0.0968658662120501,0.08582486557289956,0.06931236672302085,0.05683680068651833,0.04494880011777083,0.07730973342657087,0.046154500513027136
drawing 98,0.16666666666666666,0.028702151963952927,0.019344861344951725,0.016716597168706354,0.011844895648149154,0.005807743174696549,0.0193829168084388,0.014298784482913711,0.008011666450701239,0.004796041654836801,0.0017856250279065634,0.0008773263942243324,0.005320625047380519,0.005053750058092799,0.0024262500286567966,0.02729649315846878,0.029980799469889862,0.010581215522122675,0.018778923732332056
exercising with an exercise ball 120,0.16666666666666666,0.24748312678602,0.2582457627190483,0.23762972394625348,0.20698489524838,0.18453360974788666,0.22142836862140225,0.18761166535421378,0.16843979087968672,0.15972868281934,0.17135847286217745,0.12533350724312997,0.15529694466127286,0.15189208292298845,0.11547309045162463,0.197205002023321,0.19806288223713642,0.17684704699243112,0.13580316142075594
golf driving 142,0.16,0.2502512667655945,0.36504936192035686,0.34296870190103845,0.2880317653437455,0.2606169673522314,0.3271554324189823,0.24664126547574994,0.21166919865210848,0.29849323123296095,0.31299983512560536,0.27803159747521083,0.284008734703064,0.3050826684315999,0.2785613340934119,0.22926423259774836,0.14697146979769074,0.2489890636761983,0.1417170343309641
playing clarinet 225,0.16,0.6023791043281554,0.6032533659830688,0.5641751021027563,0.42649270043373105,0.3770069677591323,0.5537243679362039,0.40715700022379553,0.36378753172556555,0.3906165268421172,0.34951572963322197,0.2622989964229366,0.38628163182934133,0.35251699558695143,0.27014729935874554,0.5601492329835892,0.5297805639584859,0.40548766592939695,0.32439820187886553
riding elephant 269,0.16,0.1845360653877258,0.3221666993776959,0.2997858281771343,0.19806840043067933,0.1355025651693344,0.29187553348541256,0.17268020033836368,0.11568753281434377,0.19889803138573967,0.1321008642276128,0.09764310209999483,0.19097636622587846,0.10895783304373426,0.07931939987142879,0.1615920988599459,0.1577439008196195,0.17563860083023708,0.14542709925969446
skateboarding 306,0.16,0.24871156864166255,0.4084055632273356,0.37599999764760333,0.2631462967236838,0.21606173292795816,0.3812397327423095,0.2871511341094971,0.2389292645772299,0.35150196749369306,0.3470060048421224,0.3065627983729044,0.35325220438639315,0.3512641001383464,0.3109227665583292,0.19872956459522245,0.21582800099054972,0.17071383312543237,0.1948203336159388
swimming backstroke 339,0.16,0.12868753333489102,0.1977986675878366,0.17989486693938572,0.11037553473909695,0.07939369994699956,0.16940463611682255,0.08084026703834532,0.0589727341890335,0.11637856755355996,0.09279353366494178,0.07858533294498919,0.11047386716802919,0.09030703171143928,0.07711209938724836,0.1154487353444099,0.10030186678568523,0.11638533246616527,0.08447630067467689
waxing back 386,0.16,0.09492713349362214,0.05818443397780259,0.04669826618283987,0.034482699312766395,0.02905723370189469,0.051327433313926064,0.04782486625810464,0.04064870002145567,0.016074433193852503,0.010575866361955804,0.0036486666244765122,0.017353833506007988,0.010410099971418578,0.003684633430466056,0.06938936651150386,0.08758773258825144,0.04069616652578116,0.06954973279039066
carrying baby 44,0.14583333333333334,0.44463475313451545,0.31396555691129635,0.2700074667649136,0.21304375072113343,0.17873125028007456,0.26663052086200983,0.18532875089699194,0.15264982612596614,0.10414371577091518,0.05354763919901517,0.01863857665293229,0.10660000069933533,0.05351569412677134,0.020166839766316117,0.4046497550937865,0.41565593991014693,0.26432475520504845,0.25202538515130685
cheerleading 55,0.14285714285714285,0.32550013584547305,0.5309977892629145,0.4825662591870951,0.3034546564793101,0.2102955126230206,0.4828701015232374,0.2847842875792055,0.20037452370105754,0.40917207674509803,0.34434928821564526,0.2983557809017549,0.4069269065954248,0.34937197444795753,0.30191187021987786,0.2865671796883855,0.2997991512421848,0.22431690864417025,0.2362098303761612
headbanging 149,0.14285714285714285,0.20888565063476572,0.23441884533888624,0.20252795896562586,0.1287060532024523,0.09736255088833726,0.20103489823081871,0.12449418393628939,0.08687394577781761,0.0767261555513405,0.03613112192753019,0.019826360995418766,0.07589357165391651,0.0338647626373334,0.019193402004181122,0.18690445719933022,0.1913522127534256,0.13184397780165383,0.14069428626371888
baby waking up 10,0.14,0.13448536641995112,0.04834799986531337,0.04246176675756772,0.02613970059057077,0.020386500053107742,0.045442766298105314,0.02840486631381015,0.024188367106517155,0.005117099962756038,0.0026521000027656554,0.0034839666483302907,0.005831233341867725,0.002269666650891304,0.0013603667030731839,0.13911996628840764,0.13460609991550446,0.07145123265882335,0.0788769326729079
