class_name,accuracy
sneezing 319,0.02
washing hands 382,0.02
watering plants 385,0.02
waxing chest 387,0.02
baby waking up 10,0
baking cookies 11,0
bending metal 21,0
cleaning gutters 61,0
cleaning pool 62,0
cooking egg 71,0
cooking sausages 73,0
cutting nails 81,0
cutting watermelon 83,0
digging 90,0
drawing 98,0
eating chips 112,0
making a cake 184,0
making a sandwich 185,0
making jewelry 187,0
making sushi 190,0
making tea 191,0
massaging feet 194,0
mopping floor 198,0
peeling apples 210,0
peeling potatoes 211,0
playing basketball 220,0
playing keyboard 236,0
playing monopoly 238,0
ripping paper 276,0
sharpening knives 290,0
shaving legs 293,0
shredding paper 300,0
slapping 314,0
sniffing 320,0
spray painting 327,0
sticking tongue out 331,0
swing dancing 342,0
taking a shower 347,0
weaving basket 390,0
yawning 397,0
