class_name,accuracy,default_confidence,frame_confidence
picking fruit 214,0.16326530612244897,0.1689015688166619,0.2731445080760987
swinging on something 344,0.16326530612244897,0.18336561210540323,0.3282047777314486
arranging flowers 7,0.16,0.14714788634941064,0.2924524711637713
disc golfing 92,0.16,0.16934639658819567,0.40299222158829967
knitting 178,0.16,0.024766795091079343,0.1035211728970532
riding mule 272,0.16,0.18055348336984575,0.31286235950725155
sanding floor 284,0.16,0.09074708020133115,0.22413516348079396
scrambling eggs 285,0.16,0.032490536681031766,0.14019070236435763
singing 304,0.16,0.2454519531467791,0.3425704563474198
snorkeling 321,0.16,0.05518696065473506,0.17176850273933006
trapezing 364,0.16,0.10365979873078325,0.2378472347208913
wrestling 395,0.16,0.35239095139595744,0.40342211370168934
writing 396,0.16,0.04444220100455956,0.13438409698008325
kissing 176,0.15217391304347827,0.13537502593476108,0.19662768988666354
clapping 57,0.14583333333333334,0.2378395457872893,0.32220501227516013
hoverboarding 157,0.14583333333333334,0.1446484153275889,0.2758628186493196
ironing 165,0.14583333333333334,0.09579571743408502,0.243804192957069
gargling 137,0.14285714285714285,0.1721595397509307,0.23880413190897545
playing trombone 247,0.14285714285714285,0.24877693099956347,0.3543265806626608
smoking 316,0.14285714285714285,0.09849989946834731,0.1926868410761819
brushing teeth 37,0.14,0.1164025261283747,0.19954436306227263
ice climbing 162,0.14,0.11992511584704374,0.2666688150472315
playing bagpipes 219,0.14,0.2969624575257793,0.4257133156497628
somersaulting 325,0.14,0.16763227880801357,0.3170722794509491
exercising with an exercise ball 120,0.125,0.21292570389313975,0.38567027449625935
balloon blowing 12,0.12244897959183673,0.1392542179587159,0.24979081162757993
braiding hair 32,0.12244897959183673,0.0542370932730866,0.12486047107467545
cleaning floor 60,0.12244897959183673,0.08407455088580737,0.2155414100828286
dancing charleston 85,0.12244897959183673,0.43174368896235504,0.5249378575156328
flipping pancake 129,0.12244897959183673,0.1244359520649697,0.2614033227659927
sailing 282,0.12244897959183673,0.09218924561358241,0.2400400153521227
blasting sand 23,0.12,0.06480547505753086,0.16835644397492042
blowing glass 24,0.12,0.15390835091757835,0.25696878842158755
climbing ladder 67,0.12,0.15529544313398252,0.2763617835868574
doing aerobics 95,0.12,0.5498257618255855,0.6180057240305035
flying kite 130,0.12,0.09486578613118844,0.2851533698357569
playing flute 231,0.12,0.19011865260863173,0.3135545839905436
shooting basketball 296,0.12,0.25415943708073446,0.4184250936439253
tasting food 353,0.12,0.20131779281855797,0.2790398552537035
ice fishing 163,0.10416666666666667,0.12031687855380883,0.26012392846616805
breading or breadcrumbing 33,0.10204081632653061,0.03559997903743998,0.14951283514577612
curling hair 80,0.10204081632653061,0.09395941216448295,0.17545072225088976
folding napkins 132,0.10204081632653061,0.040129677300991914,0.13117162844871194
passing American football (not in game) 209,0.10204081632653061,0.16763355989781262,0.3956646641440165
petting animal (not cat) 212,0.10204081632653061,0.1284555480004427,0.20450277017156057
planting trees 215,0.10204081632653061,0.23439708514704807,0.34309285363734315
playing trumpet 248,0.10204081632653061,0.2114646921979884,0.32026903214044344
sword fighting 345,0.10204081632653061,0.3173287816430129,0.4045021381497901
wrapping present 394,0.10204081632653061,0.09872762867388708,0.20749311812165755
answering questions 2,0.1,0.20426874038642134,0.3240636003290999
applauding 3,0.1,0.2175863565768282,0.3074485182086221
brushing hair 36,0.1,0.09501946150945344,0.1759152678164632
building cabinet 38,0.1,0.09355494851132837,0.22387083666510663
catching or throwing frisbee 49,0.1,0.18954933412506048,0.4062928611383404
clay pottery making 58,0.1,0.04082796668353041,0.13685920927476616
dodgeball 94,0.1,0.3755500531160305,0.4735184931712888
egg hunting 118,0.1,0.2502370392875299,0.35883549172368345
headbutting 150,0.1,0.12743648659800805,0.23608906027111345
making snowman 189,0.1,0.19472639062102431,0.29420571073110696
mowing lawn 201,0.1,0.14672869759319193,0.34814759342225265
parasailing 206,0.1,0.08456103962374985,0.23182283427473227
playing cymbals 228,0.1,0.12923185966254425,0.24822187067650475
pushing wheelchair 263,0.1,0.21832565372550844,0.3540474470785041
