class_name,accuracy,default_confidence_P0,default_confidence_P1,frame_confidence_P0,frame_confidence_P1
bench pressing 19,0.42,0.24477707547788272,0.08055441878504223,0.40340357565382645,0.5780070481840814
hurling (sport) 161,0.42,0.3124251357467086,0.19316350434267968,0.7171202732919216,0.6114146630896689
long jump 182,0.42,0.37919327378449613,0.23868368819907862,0.8520495209024291,0.7460798578630655
swimming butterfly stroke 341,0.42,0.09301554065986915,0.017249166618011617,0.2207785671508256,0.1981710837698087
tango dancing 348,0.42,0.4071048906114366,0.2782667739868163,0.7623877191300433,0.7721676105759268
belly dancing 18,0.40816326530612246,0.4024077724419304,0.2403251667267792,0.709429787017646,1.090948026421871
jumpstyle dancing 173,0.40816326530612246,0.4090659834558281,0.23343564479349238,0.7574811842242538,1.5914125558856203
playing drums 230,0.40816326530612246,0.3367788867525143,0.050341220066931223,0.41604555745622523,23.192264401799953
playing poker 242,0.40816326530612246,0.2693207961361424,0.13562206427030998,0.5197707169978673,6.625454000895676
salsa dancing 283,0.40816326530612246,0.5046379195463451,0.36503833332840274,0.933886065142429,1.8360580855623263
ice skating 164,0.4,0.3458367025022154,0.16316538987844084,0.6187544641793655,1.052156510327618
shaking head 289,0.4,0.20145384880348488,0.03438930790159436,0.2778215064973619,4.6984868254732355
carrying baby 44,0.3958333333333333,0.30441005500746365,0.10872996524160287,0.47324535087602415,6.65035475250798
running on treadmill 281,0.3958333333333333,0.2400770157502022,0.06030958704374457,0.3889714180913644,8.498831747784086
cheerleading 55,0.3877551020408163,0.37918693642317125,0.2850157514892558,0.7531425175272901,0.7104691210277069
chopping wood 56,0.3877551020408163,0.3155233169088558,0.0750873002304061,0.4805994588410525,5.279593410197435
krumping 179,0.3877551020408163,0.44736979426169887,0.2941694734426312,0.8208022495810511,1.1346606910495516
playing ice hockey 235,0.3877551020408163,0.3560309568536345,0.17322546397297114,0.6425545185226791,0.8701950645350082
dying hair 108,0.3829787234042553,0.16424211782766568,0.029940736873399744,0.2307105637869506,1.233667100737066
frying vegetables 135,0.38,0.08200484438295717,0.021660114656112818,0.22084092484475812,0.19686239467057104
high jump 151,0.38,0.2985245557732052,0.1525513082539594,0.7077806486461887,1.430368359118931
hitting baseball 153,0.38,0.5021697041829427,0.1954052813733066,0.7475765180124422,4.395745934045887
javelin throw 166,0.38,0.3763099227905272,0.17518617105837225,0.7582384147768922,1.5563475685355603
jumping into pool 172,0.38,0.19412636967764957,0.04225977018232699,0.3850901497525229,0.6102591613303191
playing bass guitar 221,0.38,0.11512086135987884,0.02470867830426605,0.1887696162217036,4.432775116519869
playing clarinet 225,0.38,0.48545555966341924,0.37334099520996766,0.9721149597622404,2.8441693750226857
riding camel 268,0.38,0.3756618639910663,0.19289101703078665,0.6502270812095178,0.8308541545305007
vault 376,0.38,0.3219576823119764,0.15355409682944965,0.6117692037774118,0.6912117694122264
washing feet 380,0.38,0.28726641449751666,0.1978002725177342,0.5761782117908651,0.5585799487355283
air drumming 1,0.3673469387755102,0.2749840574487987,0.07300412257692622,0.41128762552074105,5.439171516257435
bouncing on trampoline 30,0.36,0.3943194281118888,0.11481521128813425,0.6141240460288683,3.589061614082845
breakdancing 34,0.36,0.3737843444824218,0.19626466448836857,0.6558513480264362,0.951748771993499
climbing a rope 66,0.36,0.29703055436876086,0.09325273568277005,0.473985415517286,1.354451719585359
golf chipping 141,0.36,0.3739225654893451,0.0491530994715514,0.5431767608745903,11.22730333562445
hurdling 160,0.36,0.30546827098705154,0.15445865310386384,0.6225508113149527,0.8190343477336199
