class_name,accuracy,default_confidence,frame_confidence
cheerleading 55,0.14285714285714285,0.3321013460101635,0.3341344520526
headbanging 149,0.14285714285714285,0.1220408002012891,0.12399084927087803
baby waking up 10,0.14,0.045257000030411616,0.04653597816975488
cooking sausages 73,0.14,0.05592492435861517,0.057683392889321006
dining 91,0.14,0.2473950074301825,0.2506642173795489
high jump 151,0.14,0.22553793141488676,0.2338901960569733
marching 192,0.14,0.3399276183675837,0.3485412970395177
throwing axe 356,0.14,0.19057747419851798,0.2020409072849861
tickling 359,0.14,0.1501322787744028,0.15189552252640917
eating carrots 111,0.125,0.09147345704796872,0.09378050147713984
milking cow 197,0.125,0.11309822602036558,0.11541678232579651
parkour 207,0.125,0.16482656278727967,0.16922150619972323
playing volleyball 251,0.125,0.4067421548160505,0.40894134663640025
decorating the christmas tree 89,0.12244897959183673,0.15482773882461515,0.1571423931827381
diving cliff 93,0.12244897959183673,0.06309609759872102,0.06547365681572065
eating spaghetti 116,0.12244897959183673,0.1260780911723142,0.1290355264666317
playing drums 230,0.12244897959183673,0.19356005278484262,0.19759915355788993
hurling (sport) 161,0.12,0.2527943202548557,0.2571341732241235
passing American football (in game) 208,0.12,0.3384105360384341,0.34238989807363057
playing basketball 220,0.12,0.3187847528810855,0.32231741848865086
pole vault 253,0.12,0.20528212853537675,0.20873915741590435
punching bag 258,0.12,0.14393015670776368,0.14706299310247814
riding mule 272,0.12,0.1841702909540247,0.18786432648033835
roller skating 280,0.12,0.3188145939721001,0.3233328732625235
ski jumping 307,0.12,0.07712302912252919,0.07989617351003352
swing dancing 342,0.12,0.40063205589011874,0.4029064459566492
push up 260,0.10416666666666667,0.1362235504057672,0.1397617479813725
arm wrestling 6,0.10204081632653061,0.2100767074925198,0.21156695118079868
breading or breadcrumbing 33,0.10204081632653061,0.06817170973087205,0.0701164513753943
gymnastics tumbling 147,0.10204081632653061,0.16541086143557088,0.16917758583517598
setting table 287,0.10204081632653061,0.10446748974326875,0.1092552439971138
testifying 354,0.10204081632653061,0.25625013113562484,0.25851370559444004
trimming trees 366,0.10204081632653061,0.0585625660140138,0.06053077887791926
water skiing 383,0.10204081632653061,0.10234033946457544,0.10764249079298636
crawling baby 77,0.1,0.12181582336425782,0.12469850320507664
hopscotch 156,0.1,0.26162488448531535,0.26629899321281675
riding camel 268,0.1,0.2842764404014304,0.28739363076769364
skydiving 312,0.1,0.09906890816688538,0.10803090768873423
driving car 103,0.08333333333333333,0.1074797752904303,0.11205512705351835
bowling 31,0.08163265306122448,0.15958172438816867,0.16289877426894703
gargling 137,0.08163265306122448,0.17983524727623126,0.181248322145451
hula hooping 159,0.08163265306122448,0.2515593908631432,0.2558672109758807
picking fruit 214,0.08163265306122448,0.13766914849198417,0.1399721418936515
playing poker 242,0.08163265306122448,0.2024714316009845,0.20543176209521308
playing tennis 246,0.08163265306122448,0.2506543649801771,0.2615310441075686
punching person (boxing) 259,0.08163265306122448,0.3173667407815239,0.3195610767797194
using segway 375,0.08163265306122448,0.2980552448401015,0.3023962008961134
checking tires 54,0.08,0.07228386928019699,0.07433005499994912
climbing ladder 67,0.08,0.13357660617828374,0.1393944986331055
egg hunting 118,0.08,0.2361895116735388,0.2396383434947537
grinding meat 144,0.08,0.03505738217389142,0.03623706944154124
hammer throw 148,0.08,0.22999961943449793,0.23550943077308176
juggling soccer ball 171,0.08,0.27132206398646047,0.2769674912986776
news anchoring 202,0.08,0.2074221666689272,0.21146753487370318
playing bass guitar 221,0.08,0.06991477147671912,0.0728129908254524
playing chess 224,0.08,0.14902386800448103,0.15073716318714456
swimming breast stroke 340,0.08,0.1051479103229664,0.1075066857365763
dancing gangnam style 86,0.0625,0.3010807332874816,0.3037089972983236
balloon blowing 12,0.061224489795918366,0.139357012907664,0.14184236908560469
belly dancing 18,0.061224489795918366,0.3213664693681021,0.32423721574295816
hugging 158,0.061224489795918366,0.19033638104289574,0.1927977026819565
massaging back 193,0.061224489795918366,0.06588867556210816,0.06699538888691087
massaging legs 195,0.061224489795918366,0.04729819544859215,0.04831521679747132
playing accordion 217,0.061224489795918366,0.22236212190496854,0.2259458930210248
smoking hookah 317,0.061224489795918366,0.10321284874406443,0.10556618348875235
walking the dog 378,0.061224489795918366,0.15471550924887909,0.1581591247554057
canoeing or kayaking 42,0.06,0.11434610679414542,0.11939788449082497
capoeira 43,0.06,0.45399047568992346,0.4558637524341637
country line dancing 75,0.06,0.4573575403849284,0.46070188400284384
eating cake 110,0.06,0.1535623154110379,0.15600213813944358
jogging 168,0.06,0.20075265333387587,0.20475795881003844
massaging person's head 196,0.06,0.070779116166521,0.0722374969374912
parasailing 206,0.06,0.06484857382906807,0.07099725421595772
plastering 216,0.06,0.10214801058592622,0.10463102743708572
playing cello 223,0.06,0.26954823358677055,0.2730227738345088
playing controller 226,0.06,0.04460077659818861,0.045764492956931
playing didgeridoo 229,0.06,0.23559483653880925,0.2397560826513407
pushing cart 262,0.06,0.17549432576497404,0.17926569095688508
riding scooter 274,0.06,0.199119478670756,0.20441941206730196
riding unicycle 275,0.06,0.22259212519327806,0.22739118085902116
shaking head 289,0.06,0.11792157784921148,0.12056118914206952
sled dog racing 315,0.06,0.19944565694597036,0.2029019575892157
snorkeling 321,0.06,0.05366982623206245,0.055361989056607185
squat 330,0.06,0.258880197680438,0.26290061622693073
stretching arm 333,0.06,0.1874903997597871,0.19262992592766545
swinging legs 343,0.06,0.23377246907552085,0.23903912763125845
tapping guitar 350,0.06,0.08936724483834371,0.09143024589112864
tasting beer 352,0.06,0.22981568726433643,0.23206207393612427
tossing salad 362,0.06,0.055244549654148246,0.05706366169799987
tying knot (not on a tie) 369,0.06,0.019606735047587642,0.020351596434770965
writing 396,0.06,0.05312236689163579,0.0555367546333394
dunking basketball 107,0.041666666666666664,0.2214395284505538,0.225031686962085
washing hair 381,0.041666666666666664,0.06729737876374045,0.06857958516469478
blowing out candles 27,0.04081632653061224,0.20191451286783024,0.2041320493071408
chopping wood 56,0.04081632653061224,0.19530530967049226,0.1991543025154616
faceplanting 122,0.04081632653061224,0.11920427442047508,0.12198800903552107
making a cake 184,0.04081632653061224,0.10315092183024434,0.10484460606628365
planting trees 215,0.04081632653061224,0.20068310483152546,0.20377987070355724
shooting goal (soccer) 297,0.04081632653061224,0.19882805725524402,0.20324809681994638
skiing (not slalom or crosscountry) 308,0.04081632653061224,0.1505344554500335,0.154402918839245
yawning 397,0.04081632653061224,0.07642821479726722,0.07831029304894596
answering questions 2,0.04,0.23581951695194944,0.23915431960090985
bartending 15,0.04,0.26661370781792537,0.27044649975400853
blowing glass 24,0.04,0.11111661726633708,0.11592347636796073
blowing nose 26,0.04,0.12607427028373433,0.12891826252789826
catching or throwing frisbee 49,0.04,0.19309990712625008,0.1976160435590035
celebrating 51,0.04,0.25838277943929033,0.26063132003642303
cleaning windows 65,0.04,0.1304380630846377,0.13611446094463245
contact juggling 69,0.04,0.21363848834567606,0.21801510373883368
digging 90,0.04,0.11910177270924605,0.12149457290140245
dodgeball 94,0.04,0.3811065914012767,0.384203704803782
grooming dog 145,0.04,0.06046204655082137,0.06208456828288696
juggling fire 170,0.04,0.23984835015756115,0.24360220268103716
playing organ 239,0.04,0.14810625366833474,0.15106383511577598
playing paintball 240,0.04,0.1381432564276236,0.1411527171481721
playing piano 241,0.04,0.17323591561140841,0.17604540829498697
pull ups 255,0.04,0.18526830890796805,0.18932402600038548
sanding floor 284,0.04,0.10968889043242847,0.11225011114739884
scuba diving 286,0.04,0.06575023915105396,0.06776301158953567
shaving head 292,0.04,0.15082563867215756,0.15258356519788377
skipping rope 311,0.04,0.4513806111653645,0.4553053916101482
tango dancing 348,0.04,0.3426858326664676,0.3450786132396786
tobogganing 360,0.04,0.10800410777904368,0.11329812224379147
training dog 363,0.04,0.17732901040536386,0.1813284092796744
trimming or shaving beard 365,0.04,0.09538153726171564,0.09725130471405874
tying bow tie 368,0.04,0.06389783174196878,0.06564375152416256
vault 376,0.04,0.2377558891817376,0.2415129363955108
zumba 399,0.022222222222222223,0.48598208589907066,0.48753573777263653
kissing 176,0.021739130434782608,0.1570220514234521,0.15904451218687726
dying hair 108,0.02127659574468085,0.09709142398045134,0.09915432710832832
laughing 180,0.020833333333333332,0.15439389772253273,0.15647192245358382
running on treadmill 281,0.020833333333333332,0.15019330093890063,0.15326730948877346
springboard diving 329,0.020833333333333332,0.09566470077376305,0.09873738941502952
surfing water 337,0.020833333333333332,0.11178005428915773,0.12007037965637866
baking cookies 11,0.02040816326530612,0.08659597961450291,0.08788072199943267
cleaning floor 60,0.02040816326530612,0.08781885873523518,0.08989113626381581
curling hair 80,0.02040816326530612,0.08026727169098857,0.08256738685914822
extinguishing fire 121,0.02040816326530612,0.11499947753352639,0.11763417071398498
fixing hair 128,0.02040816326530612,0.11328665481763453,0.11571745546933397
flipping pancake 129,0.02040816326530612,0.12851446643347825,0.13090913609117777
passing American football (not in game) 209,0.02040816326530612,0.19905775363393027,0.2035989907207829
playing ice hockey 235,0.02040816326530612,0.26462821359266764,0.26854538658117677
riding mountain bike 271,0.02040816326530612,0.13518768848295204,0.1390750646361217
sailing 282,0.02040816326530612,0.08818332965321735,0.09443531077630449
slapping 314,0.02040816326530612,0.09248722612182032,0.09438933096962185
snatch weight lifting 318,0.02040816326530612,0.2914569455101377,0.2962179300594328
spray painting 327,0.02040816326530612,0.06586237347540491,0.06760986013729574
sticking tongue out 331,0.02040816326530612,0.08183512244725531,0.08529525892074846
swinging on something 344,0.02040816326530612,0.18805641426070563,0.19154603498203962
sword fighting 345,0.02040816326530612,0.296936343143316,0.2994263280567529
taking a shower 347,0.02040816326530612,0.0723896401728632,0.07582911226220057
assembling computer 8,0.02,0.025153727786629297,0.026556328638354845
bee keeping 17,0.02,0.10736113337764036,0.11007191981438835
blasting sand 23,0.02,0.06702330013557717,0.07007904724532828
breakdancing 34,0.02,0.2850245034677011,0.28833551612697755
brushing hair 36,0.02,0.10991904877380083,0.1120370439557763
building cabinet 38,0.02,0.09014885333467411,0.09296915155478634
catching or throwing softball 50,0.02,0.3359050300880715,0.33958930312681895
changing oil 52,0.02,0.03504278825742227,0.03687364883485267
changing wheel 53,0.02,0.07623575155999923,0.07786378258099189
clay pottery making 58,0.02,0.05328916715251076,0.05497715802138347
climbing a rope 66,0.02,0.195141645445647,0.19858096928599572
cooking chicken 70,0.02,0.03855707102881538,0.039882859388058835
doing aerobics 95,0.02,0.5346205537018953,0.5371228042756696
drumming fingers 106,0.02,0.040450458956647804,0.04258467660770244
