class_name,accuracy,default_confidence_P0,default_confidence_P1,frame_confidence_P0,frame_confidence_P1
running on treadmill 281,0.3958333333333333,0.2427723531771338,0.06892308050373236,0.6280359167185998,0.059400885635758814
cheerleading 55,0.3877551020408163,0.41964097014494295,0.3277185664330079,0.35343409501580325,0.008946334183577433
chopping wood 56,0.3877551020408163,0.3396845863908129,0.08174607389829078,0.4847471819554062,0.05330422240581927
krumping 179,0.3877551020408163,0.44887161562072947,0.255241822580868,0.32801693372148705,0.024713732649290294
playing ice hockey 235,0.3877551020408163,0.3727249936254481,0.20164585288776418,0.3883204049193501,0.020191251523655467
dying hair 108,0.3829787234042553,0.16200649416984655,0.023033882589490517,0.39726278172826507,0.056013557386812046
frying vegetables 135,0.38,0.06972968518057884,0.015555308364383593,1.0685344057194972,0.14145269901267937
high jump 151,0.38,0.2592957267495211,0.11706910373056144,0.7725630422336083,0.050487349710408164
hitting baseball 153,0.38,0.4493469293855969,0.1691095610091756,0.37477592697186846,0.04485561252073198
javelin throw 166,0.38,0.3459671708317954,0.14870167631679976,0.5338754458713991,0.04440724206473589
jumping into pool 172,0.38,0.22098523229477596,0.07004599334179427,0.693244906168385,0.06629842226860418
playing bass guitar 221,0.38,0.1272479992101834,0.021862837164749807,0.782760015489498,0.12951690222583093
playing clarinet 225,0.38,0.40741178358849683,0.2234676580760753,0.34127309776718867,0.04018254074252122
riding camel 268,0.38,0.35925803237236625,0.1839280720189845,0.39507386377419074,0.01296254291972151
vault 376,0.38,0.3485642083658222,0.17531525870691894,0.42105931172755307,0.01495437490310488
washing feet 380,0.38,0.27485578585439874,0.18794558509822698,0.4788754072405035,0.026510162307501535
air drumming 1,0.3673469387755102,0.2714576978762941,0.06761902752600743,0.4270068906120682,0.057593961078765736
bouncing on trampoline 30,0.36,0.3902522388276598,0.1033239023563092,0.3575841138155272,0.03454912373712357
breakdancing 34,0.36,0.4059716664027518,0.2447314590254954,0.3585666951432126,0.01493348756581879
climbing a rope 66,0.36,0.3086125722698549,0.08561713691532256,0.4015768370950852,0.037649016792816195
golf chipping 141,0.36,0.44555443141041307,0.056451337528851266,0.5766900010473738,0.139190403692824
hurdling 160,0.36,0.2658576732120879,0.1078602079189272,0.6705708900245656,0.06119660806558895
playing harp 234,0.36,0.30598115023425476,0.07644421803836425,0.3691602140176667,0.07863396039284955
shot put 298,0.36,0.43148571918371936,0.24973633075473559,0.4388796442535395,0.028720606283456514
side kick 302,0.36,0.44119361124536155,0.22465784862699895,0.44041374948866946,0.046620176571889445
blowing out candles 27,0.3469387755102041,0.27275879474711795,0.13142192669160632,0.3881303491453989,0.028296723220101738
headbanging 149,0.3469387755102041,0.186426696270428,0.07100869816433887,0.5335615684135235,0.043616648608395814
